run,imp,exit_code,theta_1,gamma_1,e_1,lnL,converged,combo,rep
339,1,3,0.00261652841259731,-0.274052939673111,0.0980611056247586,20342.4249373285,True,n100_g0_e0.1,18
237,1,3,0.00254857997506455,-0.0154237679944774,0.103947952978392,20459.5564482569,True,n100_g0_e0.1,19
48,1,3,0.00255973413738343,0.0376228759635135,0.101438774671581,20670.3661884089,True,n100_g0_e0.1,1
122,1,3,0.0026519493122088,-0.347421967872884,0.10442232472788,20457.230370175,True,n100_g0_e0.1,20
420,1,3,0.00243505397729586,0.275356499899403,0.10848928349408,20089.7553475677,True,n100_g0_e0.1,21
29,1,3,0.00241315930280979,0.24491229322349,0.0849890491664196,19922.4589028338,True,n100_g0_e0.1,22
404,1,3,0.0025626300481462,-0.176303224668268,0.107200050112912,20120.4582793487,True,n100_g0_e0.1,23
426,1,3,0.00253876049001302,-0.052887191961222,0.0835035825872013,20330.7242445049,True,n100_g0_e0.1,24
54,1,3,0.00244201095910589,0.175872454913577,0.0879262327531639,20008.1395398948,True,n100_g0_e0.1,25
377,1,3,0.00258821010694892,-0.0436892584813642,0.0807917129606327,20837.185952103,True,n100_g0_e0.1,26
499,1,3,0.00246357304885209,-0.158562186913554,0.110060165133928,19219.8796627102,True,n100_g0_e0.1,27
145,1,3,0.00250582585311197,0.0587706543762154,0.0894601681769851,20290.9577039754,True,n100_g0_e0.1,28
90,1,3,0.00253780072242291,-0.114058959722648,0.117673681083044,20028.3573758272,True,n100_g0_e0.1,29
309,1,3,0.00249238675701798,-0.159752257424087,0.102994435657351,19477.4465264839,True,n100_g0_e0.1,2
171,1,3,0.00250409374850834,-0.128824343291005,0.108106350683226,19670.3067653969,True,n100_g0_e0.1,30
308,1,3,0.0026567286086886,-0.241532525070007,0.108004095644007,20827.585835466,True,n100_g0_e0.1,31
147,1,3,0.00248641614980974,0.00455542537032538,0.103283025873442,19900.98261852,True,n100_g0_e0.1,32
125,1,3,0.00252521551047783,-0.0331894290067575,0.116174857820589,20147.1743315449,True,n100_g0_e0.1,33
372,1,3,0.00253947712812792,-0.218121890705235,0.114935354424633,19746.3183144468,True,n100_g0_e0.1,34
243,1,3,0.00253982364036334,0.0188804020906239,0.0974065248883999,20465.1193905253,True,n100_g0_e0.1,35
102,1,3,0.00247261478825673,0.157432129217531,0.0920382046613346,20255.4994490375,True,n100_g0_e0.1,36
489,1,3,0.00253650173126825,-0.0716061393186859,0.102164732047365,20194.8279496119,True,n100_g0_e0.1,37
416,1,3,0.00258599308151147,-0.308824182526225,0.0970416011423877,20030.8392655644,True,n100_g0_e0.1,38
269,1,3,0.00254723032585815,-0.142689779906439,0.104850566289405,20090.4699682273,True,n100_g0_e0.1,39
332,1,3,0.00256263480119007,-0.14181965321732,0.10571805548978,20210.5468192074,True,n100_g0_e0.1,3
199,1,3,0.00235379787782306,0.440042270444238,0.0791619190523078,19820.6408920836,True,n100_g0_e0.1,40
116,1,3,0.0024305595613485,-0.042663089580209,0.108644769266663,19209.2732902702,True,n100_g0_e0.1,41
488,1,3,0.00243721437608962,0.0962374223406596,0.0964321765101251,19678.623609893,True,n100_g0_e0.1,42
164,1,3,0.00241942524381931,0.252804359371959,0.0937363817009997,19944.802943876,True,n100_g0_e0.1,43
333,1,3,0.0026000183639992,-0.215108231517884,0.118337995048988,20308.3487341211,True,n100_g0_e0.1,44
380,1,3,0.00256173195609872,-0.119131471576947,0.11254009227613,20266.8319579139,True,n100_g0_e0.1,45
80,1,3,0.00254425107690354,0.102032101610882,0.0969402147914912,20737.9339969047,True,n100_g0_e0.1,46
161,1,3,0.00248049879705472,0.103859119003115,0.0937881803390853,20171.4104811705,True,n100_g0_e0.1,47
126,1,3,0.00245465585583168,0.0208827974043023,0.111614386164619,19606.5386290427,True,n100_g0_e0.1,48
452,1,3,0.00255717192382239,-0.0671711033520246,0.10246358000698,20388.6107278857,True,n100_g0_e0.1,49
343,1,3,0.00270457987273712,-0.46147301296901,0.111301106554252,20592.8978761363,True,n100_g0_e0.1,4
312,1,3,0.00244019273449632,0.212382544350709,0.104852946487865,19990.5950811705,True,n100_g0_e0.1,50
430,1,3,0.00246725263195921,-0.0418697418103033,0.102449206090106,19607.8124863266,True,n100_g0_e0.1,51
190,1,3,0.00251178866048785,0.101087056387917,0.108291928307219,20422.163489691,True,n100_g0_e0.1,52
381,1,3,0.00243753763497567,0.121892009695869,0.0859147074741925,19780.8632286582,True,n100_g0_e0.1,53
466,1,3,0.00251327431084456,0.0131606941033146,0.0968118153710865,20188.2342345611,True,n100_g0_e0.1,54
25,1,3,0.00256600562150062,-0.279003673663168,0.100370255274332,19871.8948689574,True,n100_g0_e0.1,55
92,1,3,0.00235393126701678,0.320328494835606,0.0941666081054725,19466.98696708,True,n100_g0_e0.1,56
357,1,3,0.00261808271018661,-0.182468455499998,0.108299120061351,20600.5466491675,True,n100_g0_e0.1,57
382,1,3,0.00248089603329275,0.188845490691606,0.106499197805927,20349.7779166497,True,n100_g0_e0.1,58
193,1,3,0.00249809921203913,0.101826341699529,0.093944926621285,20320.4742437159,True,n100_g0_e0.1,59
226,1,3,0.00259570009855021,5.72795882242961e-05,0.0931948441235884,20975.0076673345,True,n100_g0_e0.1,5
244,1,3,0.00244137020081613,-0.0981546297786857,0.0955424127620598,19206.860238906,True,n100_g0_e0.1,60
65,1,3,0.00253191087640593,-0.303903700498217,0.128078751340915,19379.9946961896,True,n100_g0_e0.1,61
435,1,3,0.00250398104445111,-0.0207917397674651,0.106166496569083,19999.8388216766,True,n100_g0_e0.1,62
398,1,3,0.0024666034753943,0.110942446064636,0.100344471502702,19995.5816062411,True,n100_g0_e0.1,63
197,1,3,0.00252896678418546,0.0140356803111266,0.0945700267027567,20364.3542199863,True,n100_g0_e0.1,64
394,1,3,0.00253541550306284,-0.0462759284315145,0.109131274699538,20220.5133390302,True,n100_g0_e0.1,65
275,1,3,0.00249939721856339,0.0716574479337464,0.0839801410992182,20279.9693137006,True,n100_g0_e0.1,66
159,1,3,0.00250817285986635,-0.148798323728841,0.110883634081022,19635.5830807593,True,n100_g0_e0.1,67
225,1,3,0.00264779054866624,-0.482384007384867,0.106363771561484,20027.8566824106,True,n100_g0_e0.1,68
368,1,3,0.00271292528265285,-0.524264855392602,0.114544731459263,20465.8307019017,True,n100_g0_e0.1,69
105,1,3,0.00261902231206977,-0.275942733610144,0.114790210459335,20304.4414375667,True,n100_g0_e0.1,6
63,1,3,0.00253860735641467,-0.0615725637958247,0.0957033574755121,20216.6532131574,True,n100_g0_e0.1,70
134,1,3,0.00238952792643883,0.329092749327944,0.0891167207589073,19858.3227429432,True,n100_g0_e0.1,71
278,1,3,0.00259418330333244,-0.314720181716119,0.100061231450345,20059.8983980806,True,n100_g0_e0.1,72
490,1,3,0.00240442261454645,0.144615427212782,0.112875941852249,19473.2701738607,True,n100_g0_e0.1,73
350,1,3,0.00242450319894591,0.12061839856104,0.0874226034265823,19683.887627951,True,n100_g0_e0.1,74
448,1,3,0.00251994087424668,-0.0943178721774067,0.107281865075816,19935.7849981784,True,n100_g0_e0.1,75
221,1,3,0.00244448181770817,0.215367498543326,0.0830023101170676,20169.9871523469,True,n100_g0_e0.1,76
330,1,3,0.00261087049723012,-0.239748539955378,0.110673461129027,20380.5999063042,True,n100_g0_e0.1,77
188,1,3,0.00273522232503732,-0.660837601776492,0.108768262760927,20297.6628653495,True,n100_g0_e0.1,78
148,1,3,0.00258322022983781,-0.284448546371375,0.101744368290395,20030.594543653,True,n100_g0_e0.1,79
303,1,3,0.0024804420759147,0.165924816172749,0.100563384274808,20304.9375588894,True,n100_g0_e0.1,7
407,1,3,0.00260726222057567,-0.157776560944365,0.114181265770689,20554.7695254912,True,n100_g0_e0.1,80
377,1,3,0.00245612836431906,0.114588297257404,0.099828322464106,19909.6583527996,True,n100_g0_e0.1,81
211,1,3,0.00253261881826564,-0.100074034959715,0.0958263821059507,20109.6777587433,True,n100_g0_e0.1,82
83,1,3,0.00250374021139801,0.228880754235811,0.0972150434565952,20712.5006606536,True,n100_g0_e0.1,83
306,1,3,0.0024770685538377,0.00977569037431491,0.0855842125337233,19912.9369424728,True,n100_g0_e0.1,84
79,1,3,0.00254090097968934,-0.121664135902573,0.0976601552365372,20102.9336618905,True,n100_g0_e0.1,85
42,1,3,0.00248008249349283,0.12769521697821,0.102851402442078,20187.2098817099,True,n100_g0_e0.1,86
43,1,3,0.00254980699050359,-0.042886860710164,0.0990527457059839,20396.8383240379,True,n100_g0_e0.1,87
